city,month,count,k,c,mean_ws,std_ws,status,file,location_id
BandarAbbas,1,15624,1.727630,3.249138,2.895977,1.750444,OK,27.1837_56.2774.csv,single
BandarAbbas,2,14256,1.761181,3.050732,2.716054,1.612871,OK,27.1837_56.2774.csv,single
BandarAbbas,3,15624,1.740138,3.083736,2.747343,1.649609,OK,27.1837_56.2774.csv,single
BandarAbbas,4,15120,1.780540,3.276858,2.915657,1.714059,OK,27.1837_56.2774.csv,single
BandarAbbas,5,15624,1.817503,3.389721,3.013067,1.738127,OK,27.1837_56.2774.csv,single
BandarAbbas,6,15120,2.013031,3.266672,2.894685,1.519891,OK,27.1837_56.2774.csv,single
BandarAbbas,7,15624,2.253977,3.436272,3.043652,1.440110,OK,27.1837_56.2774.csv,single
BandarAbbas,8,15624,2.392600,3.511934,3.113091,1.394198,OK,27.1837_56.2774.csv,single
BandarAbbas,9,15120,2.296705,3.228111,2.859784,1.329915,OK,27.1837_56.2774.csv,single
BandarAbbas,10,15624,1.989265,3.073429,2.724033,1.446016,OK,27.1837_56.2774.csv,single
BandarAbbas,11,15120,1.727115,3.210402,2.861505,1.730082,OK,27.1837_56.2774.csv,single
BandarAbbas,12,15624,1.774259,3.249530,2.891879,1.705621,OK,27.1837_56.2774.csv,single
Bushehr,1,15624,2.012457,4.814377,4.266168,2.240595,OK,28.9833_50.8167.csv,single
Bushehr,2,14256,1.916300,4.755761,4.218978,2.317992,OK,28.9833_50.8167.csv,single
Bushehr,3,15624,1.768159,4.674338,4.160639,2.461728,OK,28.9833_50.8167.csv,single
Bushehr,4,15120,1.721506,4.413800,3.934929,2.386217,OK,28.9833_50.8167.csv,single
Bushehr,5,15624,1.750395,4.848383,4.318000,2.578698,OK,28.9833_50.8167.csv,single
Bushehr,6,15120,1.715403,5.273657,4.702569,2.861069,OK,28.9833_50.8167.csv,single
Bushehr,7,15624,1.746814,4.521438,4.027300,2.409632,OK,28.9833_50.8167.csv,single
Bushehr,8,15624,1.750366,4.019848,3.580105,2.138062,OK,28.9833_50.8167.csv,single
Bushehr,9,15120,1.623944,3.832444,3.431532,2.195796,OK,28.9833_50.8167.csv,single
Bushehr,10,15624,1.648073,3.756705,3.359605,2.120772,OK,28.9833_50.8167.csv,single
Bushehr,11,15120,2.037536,4.413937,3.910591,2.030557,OK,28.9833_50.8167.csv,single
Bushehr,12,15624,2.096047,4.615467,4.087942,2.068023,OK,28.9833_50.8167.csv,single
Kerman,1,15624,1.280499,1.983767,1.837889,1.463671,OK,30.2832_57.0788.csv,single
Kerman,2,14256,1.273475,2.453153,2.275427,1.821322,OK,30.2832_57.0788.csv,single
Kerman,3,15624,1.351150,2.712092,2.486582,1.884732,OK,30.2832_57.0788.csv,single
Kerman,4,15120,1.434206,2.671530,2.426071,1.740580,OK,30.2832_57.0788.csv,single
Kerman,5,15624,1.555387,2.536591,2.280562,1.518431,OK,30.2832_57.0788.csv,single
Kerman,6,15120,1.560680,2.640260,2.372933,1.574998,OK,30.2832_57.0788.csv,single
Kerman,7,15624,1.442492,2.632945,2.389071,1.704966,OK,30.2832_57.0788.csv,single
Kerman,8,15624,1.388801,2.410022,2.199362,1.625370,OK,30.2832_57.0788.csv,single
Kerman,9,15120,1.410067,2.182615,1.987078,1.448083,OK,30.2832_57.0788.csv,single
Kerman,10,15624,1.426842,1.856637,1.687311,1.216310,OK,30.2832_57.0788.csv,single
Kerman,11,15120,1.350647,1.638065,1.501960,1.138817,OK,30.2832_57.0788.csv,single
Kerman,12,15624,1.331070,1.546239,1.421540,1.092430,OK,30.2832_57.0788.csv,single
Khaf,1,15624,1.551886,2.934692,2.639104,1.760803,OK,34.5699_60.0988.csv,single
Khaf,2,14256,1.529422,3.255039,2.931826,1.982547,OK,34.5699_60.0988.csv,single
Khaf,3,15624,1.478909,3.541379,3.202610,2.233677,OK,34.5699_60.0988.csv,single
Khaf,4,15120,1.358888,3.909782,3.581087,2.700089,OK,34.5699_60.0988.csv,single
Khaf,5,15624,1.452449,4.487581,4.068030,2.884828,OK,34.5699_60.0988.csv,single
Khaf,6,15120,1.753838,6.035515,5.374660,3.203929,OK,34.5699_60.0988.csv,single
Khaf,7,15624,1.820544,7.185444,6.386541,3.678491,OK,34.5699_60.0988.csv,single
