turbine_type,manufacturer,has_power_curve,has_cp_curve
AD116/5000,Adwen/Areva,True,False
E-101/3050,Enercon,True,True
E-101/3500,Enercon,True,True
E-115/3000,Enercon,True,True
E-115/3200,Enercon,True,True
E-126/4200,Enercon,True,True
E-126/7500,Enercon,True,False
E-126/7580,Enercon,True,False
E-141/4200,Enercon,True,True
E-53/800,Enercon,True,True
E-70/2000,Enercon,True,False
E-70/2300,Enercon,True,True
E-82/2000,Enercon,True,True
E-82/2300,Enercon,True,True
E-82/2350,Enercon,True,True
E-82/3000,Enercon,True,True
E-92/2350,Enercon,True,True
E48/800,Enercon,True,True
ENO100/2200,Eno,True,True
ENO114/3500,Eno,True,True
ENO126/3500,Eno,True,True
GE100/2500,GE Wind,True,False
GE103/2750,GE Wind,True,True
GE120/2500,GE Wind,True,True
GE120/2750,GE Wind,True,True
GE130/3200,GE Wind,True,True
N100/2500,Nordex,True,True
N117/2400,Nordex,True,True
N131/3000,Nordex,True,True
N131/3300,Nordex,True,True
N131/3600,Nordex,True,True
N90/2500,Nordex,True,True
MM100/2000,Senvion/REpower,True,True
MM92/2050,Senvion/REpower,True,False
S104/3400,Senvion/REpower,True,False
S114/3200,Senvion/REpower,True,False
S114/3400,Senvion/REpower,True,True
S122/3000,Senvion/REpower,True,True
S122/3200,Senvion/REpower,True,True
S126/6150,Senvion/REpower,True,False
S152/6330,Senvion/REpower,True,False
SWT113/2300,Siemens,True,True
SWT113/3200,Siemens,True,True
SWT120/3600,Siemens,True,True
SWT130/3300,Siemens,True,True
SWT130/3600,Siemens,True,True
SWT142/3150,Siemens,True,True
VS112/2500,Vensys,True,False
V100/1800,Vestas,True,True
V100/1800/GS,Vestas,True,True
V112/3000,Vestas,True,True
V112/3075,Vestas,True,True
V112/3300,Vestas,True,True
V112/3450,Vestas,True,True
V117/3300,Vestas,True,True
V117/3450,Vestas,True,True
V117/3600,Vestas,True,True
V126/3000,Vestas,True,True
V126/3300,Vestas,True,True
V126/3450,Vestas,True,True
V164/8000,Vestas,True,False
V164/9500,Vestas,True,False
V80/2000,Vestas,True,False
V90/2000,Vestas,True,True
V90/2000/GS,Vestas,True,True
V90/3000,Vestas,True,False
SCD168/8000,aerodyn,True,False
